n = 1 | d = 1 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 11 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 21 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 31 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 41 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 51 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 61 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 71 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 81 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 91 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 101 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 111 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 121 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 131 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 141 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 151 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 161 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 171 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 181 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 191 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 201 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 211 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 221 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 231 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 241 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 251 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 261 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 271 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 281 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 291 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 301 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 311 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 321 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 331 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 341 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 351 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 361 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 371 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 381 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 391 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 401 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 411 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 421 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 431 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 441 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 451 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 461 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 471 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 481 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 491 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 501 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 511 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 521 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 531 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 541 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 551 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 561 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 571 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 581 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 591 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 601 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 611 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 621 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 631 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 641 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 651 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 661 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 671 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 681 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 691 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 701 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 711 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 721 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 731 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 741 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 751 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 761 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 771 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 781 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 791 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 801 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 811 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 821 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 831 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 841 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 851 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 861 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 871 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 881 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 891 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 901 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 911 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 921 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 931 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 941 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 951 | goodJ.size() = 0 | err = 0.0
n = 1 | d = 961 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 971 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 981 | goodJ.size() = 0 | err = 1.0
n = 1 | d = 991 | goodJ.size() = 0 | err = 0.0
n = 11 | d = 1 | goodJ.size() = 0 | err = 0.7272727272727273
